,Beta
MTB,1.0463504632596268
MPC,0.5291066094948234
MAR,1.0069214343137058
MRSH,0.3809308667888242
MLM,1.0682342978074477
MAS,0.9315459286715396
MA,0.7461239944046427
MKC,0.23261799778809011
MCD,0.3997163175474323
MCK,0.038751236786267684
MDT,0.4041037671043101
MRK,0.22791749665545724
META,1.5153086646764062
MET,0.8573928774763628
MTD,0.9857758575212363
MGM,1.4688300123803972
MCHP,1.8375539761201027
MU,1.9145637091577266
MSFT,1.1819548805666524
MAA,0.6256971103508671
MRNA,1.2227866486396213
TAP,0.4302988088649137
MDLZ,0.27561045454653565
MPWR,2.5355786754007705
MNST,0.46306032391179114
MCO,0.9560348158566172
MS,1.1396300076093195
MOS,0.8553193862097482
MSI,0.6266361543647765
MSCI,0.7960455250268649
NDAQ,0.6771318577363166
NTAP,1.1696493118307945
NFLX,1.1914288234733776
NEM,0.7389070089779952
NWSA,0.9507619694276064
NWS,0.946962919269512
NEE,0.39448033320549925
NKE,0.7268226163237936
NI,0.3381091884428627
NDSN,0.9295571630218938
NSC,0.8889663366839321
NTRS,0.9521509650032142
NOC,0.1452218556502248
NCLH,1.7131612086307384
NRG,0.9243543812966369
NUE,1.0435623078340934
NVDA,2.491908299145349
NVR,0.8815695410924145
NXPI,1.7801531741073342
ORLY,0.44535712578211867
OXY,0.4577648336992218
ODFL,1.1730848288591065
OMC,0.810747883822957
ON,2.029087865282847
OKE,0.6568188091222235
ORCL,1.3641062343535253
OTIS,0.7756260581571844
PCAR,0.9410520997498422
PKG,0.5710504031322075
PLTR,2.616655153879336
PANW,1.3812661517935179
PSKY,0.9694035759610355
PH,1.3234608223500304
PAYX,0.6540799957043827
PYPL,1.3519049002345147
PNR,1.059516910304938
PEP,0.1976304281803299
PFE,0.2938999241026131
PCG,0.374532854846181
PM,0.25911189809016255
PSX,0.535587749718733
PNW,0.262148231993191
PNC,0.9728045663031923
POOL,1.0330604203082503
PPG,0.7673570913994356
PPL,0.2693037845589912
PFG,0.844990179372397
PG,0.13362398161863015
PGR,0.169110387693631
PLD,0.9539188745289162
PRU,0.9387813103172046
PEG,0.42156053803731197
PTC,1.099213686920727
PSA,0.6224286385320823
PHM,1.1223202795626546
PWR,1.4816738408484893
QCOM,1.8021108683911395
DGX,0.2814505745882197
RL,1.058566722102621
RJF,0.9083535262812684
RTX,0.33136219298809555
O,0.3518979029398352
REG,0.5623916228334722
REGN,0.6118323690834163
RF,1.1518843706907858
RSG,0.33834676762673244
RMD,0.959405008824705
RVTY,0.8000709628122906
HOOD,2.280742442621778
ROK,1.3092154498217234
ROL,0.5003120869897355
ROP,0.8144681756134358
ROST,0.7512626257962046
RCL,1.4410033564863094
SPGI,0.8483900164858125
CRM,1.3208567110385676
SBAC,0.5161868802724612
SLB,0.7297597269423102
STX,1.1681367678751255
SRE,0.40832540128307987
NOW,1.4437675466049422
SHW,0.913344344434427
SPG,0.8439288632923732
SWKS,1.601011356573289
SJM,0.11169501381324216
SW,0.5765673513960179
SNA,0.842663383759991
SO,0.14366631829183382
LUV,0.8927893186622876
SWK,1.062621179376483
SBUX,0.823435803791512
STT,0.8607517924796279
STLD,1.090129454428969
STE,0.5910199569135518
SYK,0.6577247212099614
SMCI,3.1132769074581055
SYF,1.2277099761717023
SNPS,1.7920980406266
SYY,0.3891745859865235
TMUS,0.33723455357162496
TROW,1.2826648817805864
TTWO,0.8860903973296798
TPR,0.996671580887335
TRGP,0.6738175577433568
TGT,0.6356759465612651
TEL,1.074647333190505
TDY,0.786994857289306
TER,2.177659532083822
TSLA,2.3606722893910344
TXN,1.3624426955029163
TPL,0.8027014640647459
TXT,0.8676694279760223
TMO,0.7018400659269002
TJX,0.6556845137139486
TKO,0.5523615193704152
TTD,1.733736080184124
TSCO,0.7876341669482517
TT,1.0527476463519254
TDG,0.9714236925482216
TRV,0.44789795605298965
TRMB,1.25108337241151
TFC,1.2657876072245982
TYL,0.8362265620078376
TSN,0.11823592647392507
USB,1.1929702850236328
UBER,1.3929264018294676
UDR,0.7198848892776069
ULTA,0.7827531308759232
UNP,0.6219753672434133
UAL,1.4210452266427496
UPS,0.7457247299731021
URI,1.720119970343533
UNH,0.16411288620894593
UHS,0.7155349437814983
VLO,0.5744718176530647
VTR,0.593151796774877
VRSN,0.5868839499605688
VRSK,0.37359888037357525
VZ,0.14997147276607242
VRTX,0.6635829091076019
VRT,2.2591664490377634
VTRS,0.6460257180679138
VICI,0.5551001047205484
V,0.663769378668115
VST,1.472277409885251
VMC,1.0457483677529975
WRB,0.3257863547574544
GWW,0.8528235006423748
WAB,0.9225744481303675
WMT,0.32848528242845054
DIS,0.6525506692403112
WBD,1.2015878831900495
WM,0.30042597032589047
WAT,0.9774155377918365
WEC,0.18991114840304732
WFC,0.9114158248745007
WELL,0.5658122399864108
WST,0.8649955516336115
WDC,1.609046076530522
WY,0.7109526551621478
WSM,1.3702846362637706
WMB,0.5686545862551183
WTW,0.31955211372687725
WDAY,1.0751657470161524
WYNN,0.9831180706103193
XEL,0.13620098974924186
XYL,0.9848416145552987
YUM,0.53799312746107
ZBRA,1.4166683123985346
ZBH,0.5793533025656377
ZTS,0.8000051600454373
